ID,Date,Description,Amount
85,15/1/23,Test17,-607.00
86,15/11/28,Test96,880.00
87,15/12/23,Test23,-670.00
88,15/2/19,Test98,-507.00
89,15/2/27,Test20,-460.00
90,15/2/13,Test29,-917.00
91,15/9/31,Test4,926.00
92,15/6/17,Test94,447.00
93,15/5/24,Test20,-843.00
94,15/11/2,Test35,-179.00
95,15/12/2,Test49,-413.00
96,15/3/3,Test24,520.00
97,15/7/20,Test43,-95.00
98,15/6/1,Test29,-65.00
99,15/3/22,Test62,108.99
100,15/9/15,Test51,287.00
101,15/3/16,Test37,511.00
102,15/12/12,Test70,438.99
103,15/10/29,Test26,-116.00
104,15/7/25,Test49,-731.00
105,15/5/9,Test46,-505.00
106,15/8/1,Test59,393.00
107,15/1/14,Test72,-16.00
108,15/5/21,Test11,629.00
109,15/6/18,Test80,361.00
110,15/1/22,Test20,458.00
111,15/2/3,Test95,645.00
112,15/12/11,Test52,-39.00
113,15/5/8,Test78,-853.00
114,15/12/1,Test18,257.00
115,15/9/30,Test14,-188.00
116,15/8/4,Test78,499.99
117,15/6/2,Test95,806.99
118,15/11/2,Test61,684.00
119,15/5/9,Test76,-529.99
120,15/12/8,Test69,-222.00
121,15/12/26,Test10,268.00
122,15/6/12,Test66,245.99
123,15/9/11,Test77,224.00
124,15/8/19,Test78,-125.00
125,15/1/27,Test59,369.00
126,15/3/10,Test78,418.00
127,15/10/8,Test58,-322.00
128,15/3/19,Test98,668.00
129,15/6/28,Test15,622.00
130,15/11/16,Test54,-213.99
131,15/11/23,Test27,431.00
132,15/10/6,Test55,262.00
133,15/8/19,Test22,248.99
134,15/1/6,Test40,-529.00
135,15/8/7,Test15,-498.00
136,15/3/16,Test22,54.00
137,15/6/14,Test96,-66.00
138,15/7/13,Test14,-140.00
139,15/7/8,Test67,248.00
140,15/4/28,Test73,-370.00
141,15/9/6,Test100,-349.00
142,15/11/3,Test70,642.00
143,15/9/20,Test81,513.00
144,15/3/5,Test16,-938.00
145,15/7/14,Test15,-956.99
146,15/4/18,Test3,-304.00
147,15/7/23,Test90,420.00
148,15/1/29,Test78,-142.00
149,15/3/1,Test33,-728.99
150,15/2/17,Test61,497.99
151,15/2/3,Test100,-143.00
152,15/5/6,Test95,255.99
153,15/9/15,Test44,-880.99
154,15/8/21,Test56,815.00
155,15/6/22,Test87,678.00
156,15/10/4,Test55,-690.00
157,15/12/25,Test29,583.00
158,15/5/23,Test34,682.99
159,15/5/9,Test56,120.00
160,15/2/29,Test27,-588.99
161,15/3/30,Test61,-195.00
162,15/6/17,Test10,-646.00
163,15/12/19,Test58,657.00
164,15/7/29,Test12,23.00
165,15/12/1,Test17,497.00
166,15/8/16,Test68,-347.00
167,15/6/27,Test23,-438.00
168,15/7/29,Test66,227.00
169,15/5/21,Test47,-599.00
170,15/1/3,Test53,-217.00
171,15/10/5,Test95,389.00
172,15/11/17,Test60,453.00
173,15/3/17,Test23,826.99
174,15/2/3,Test98,-527.99
175,15/4/8,Test31,-611.00
176,15/2/1,Test91,-737.00
177,15/2/9,Test38,549.00
178,15/9/13,Test64,-673.00
179,15/7/9,Test69,-904.00
180,15/3/29,Test2,1.00
181,15/4/22,Test16,841.00
182,15/1/11,Test4,-278.00
183,15/8/11,Test67,-533.00
184,15/1/7,Test21,-421.00
185,15/3/15,Test11,-410.00
186,15/2/8,Test64,791.00
187,15/10/22,Test38,-547.00
188,15/4/30,Test78,49.00
189,15/4/5,Test76,-193.00
190,15/11/21,Test73,-299.99
191,15/8/13,Test8,-342.00
192,15/2/4,Test90,-388.00
193,15/6/1,Test69,922.00
194,15/11/30,Test55,851.99
195,15/8/30,Test8,266.00
196,15/8/2,Test40,635.99
197,15/12/10,Test22,898.99
198,15/6/4,Test39,478.00
199,15/10/26,Test31,-686.00
200,15/3/1,Test75,-151.99
201,15/2/29,Test32,727.00
202,15/1/9,Test38,-218.00
203,15/3/10,Test49,892.00
204,15/4/3,Test44,854.00
205,15/9/21,Test31,-868.99
206,15/12/18,Test5,-924.00
207,15/6/22,Test32,243.00
208,15/9/17,Test39,816.00
209,15/9/16,Test10,972.00
210,15/11/19,Test23,-895.00
211,15/3/30,Test91,-433.00
212,15/8/11,Test86,-834.99
213,15/8/16,Test82,817.99
214,15/10/31,Test35,113.00
215,15/6/29,Test92,780.00
216,15/1/13,Test4,500.00
217,15/3/3,Test67,-909.00
218,15/11/25,Test15,544.00
219,15/9/27,Test98,-426.00
220,15/6/14,Test88,-989.00
221,15/3/11,Test48,440.00
222,15/9/20,Test35,560.99
223,15/11/9,Test1,-443.99
224,15/1/3,Test33,355.00
225,15/4/14,Test14,630.00
226,15/10/20,Test4,-475.00
227,15/6/14,Test76,80.99
228,15/7/25,Test53,-257.99
229,15/3/23,Test65,-287.00
230,15/5/17,Test50,-384.99
231,15/3/4,Test73,-690.00
232,15/9/12,Test71,-712.00
233,15/6/11,Test79,11.00
234,15/6/5,Test29,619.00
235,15/4/9,Test45,328.99
236,15/9/6,Test73,-129.99
237,15/10/9,Test43,184.00
238,15/8/28,Test54,684.00
239,15/1/14,Test67,-597.99
240,15/11/24,Test20,-145.00
241,15/12/26,Test70,133.00
242,15/11/28,Test29,-309.00
243,15/11/3,Test3,345.00
244,15/8/9,Test46,-652.00
245,15/2/2,Test79,974.00
246,15/3/20,Test46,-464.00
247,15/3/1,Test67,663.00
248,15/6/11,Test40,-796.99
249,15/10/15,Test31,-947.00
250,15/9/22,Test81,834.00
251,15/12/9,Test96,859.00
252,15/1/5,Test53,-284.00
253,15/12/5,Test42,789.00
254,15/5/22,Test74,-190.00
255,15/2/23,Test73,-796.99
256,15/9/15,Test95,-685.99
257,15/4/26,Test60,399.99
258,15/10/4,Test97,-698.00
259,15/7/13,Test66,747.00
260,15/10/22,Test60,-1.00
261,15/2/14,Test14,-295.00
262,15/6/11,Test90,-208.00
263,15/5/11,Test30,-91.00
264,15/11/14,Test64,847.00
265,15/8/23,Test56,810.00
266,15/11/29,Test80,-141.00
267,15/10/8,Test5,984.00
268,15/4/21,Test58,552.99
269,15/2/3,Test26,-868.00
270,15/8/3,Test99,927.00
271,15/5/7,Test75,-761.00
272,15/9/14,Test41,314.99
273,15/4/9,Test21,790.00
274,15/8/20,Test17,-25.00
275,15/11/8,Test1,705.99
276,15/10/26,Test44,747.00
277,15/11/6,Test37,-198.99
278,15/7/11,Test28,-568.00
279,15/2/14,Test55,-795.99
280,15/1/22,Test34,-622.00
281,15/3/18,Test91,-6.00
282,15/7/27,Test2,-510.00
283,15/6/30,Test21,-638.00
284,15/8/22,Test52,48.00
285,15/9/11,Test11,-175.00
286,15/1/25,Test72,504.00
287,15/10/12,Test15,-344.00
288,15/6/10,Test69,-840.00
289,15/5/5,Test49,-435.00
290,15/8/26,Test38,603.00
291,15/11/15,Test48,632.00
292,15/4/14,Test20,-153.00
293,15/9/25,Test27,-77.00
294,15/3/3,Test14,431.00
295,15/5/7,Test32,-159.00
296,15/11/1,Test29,-971.00
297,15/3/7,Test4,-910.00
298,15/12/3,Test71,-177.00
299,15/9/5,Test10,-806.00
300,15/2/6,Test99,102.00
301,15/5/20,Test9,566.00
302,15/10/14,Test52,555.00
303,15/12/3,Test70,517.00
304,15/3/17,Test82,-494.00
305,15/5/30,Test67,249.99
306,15/12/23,Test72,795.00
307,15/2/25,Test57,201.99
308,15/2/19,Test43,-472.99
309,15/4/12,Test49,-976.00
310,15/11/10,Test47,-339.00
311,15/12/3,Test69,-902.00
312,15/8/20,Test90,428.00
313,15/11/13,Test8,-332.00
314,15/1/19,Test75,678.00
315,15/12/21,Test93,6.00
316,15/9/27,Test80,-940.00
317,15/9/12,Test39,-930.00
318,15/5/9,Test35,-17.99
319,15/12/30,Test85,-227.00
320,15/10/15,Test19,-544.99
321,15/3/24,Test54,-935.99
322,15/11/27,Test55,306.00
323,15/2/22,Test24,520.99
324,15/4/16,Test20,650.99
325,15/1/10,Test82,-696.00
326,15/6/10,Test84,896.00
327,15/4/23,Test11,802.00
328,15/1/7,Test11,-627.00
329,15/12/9,Test84,986.00
330,15/5/27,Test64,-892.00
331,15/8/18,Test25,301.00
332,15/9/31,Test18,277.99
333,15/10/23,Test16,134.00
334,15/1/4,Test99,-272.00
335,15/1/2,Test80,547.00
336,15/6/5,Test8,-75.00
337,15/8/15,Test44,-97.00
338,15/8/9,Test16,-414.00
339,15/1/22,Test8,-924.00
340,15/4/25,Test37,-623.00
341,15/7/4,Test31,-988.99
342,15/1/31,Test61,478.00
343,15/9/1,Test8,-857.99
344,15/1/31,Test18,-400.00
345,15/7/19,Test40,-749.00
346,15/5/17,Test71,765.00
347,15/3/16,Test20,119.99
348,15/1/22,Test3,-370.99
349,15/10/12,Test71,490.00
350,15/9/5,Test67,-445.00
351,15/8/11,Test15,766.00
352,15/7/6,Test37,995.00
353,15/8/20,Test72,200.00
354,15/6/25,Test97,-795.00
355,15/10/15,Test26,889.00
356,15/2/27,Test80,390.00
357,15/10/29,Test71,-862.00
358,15/5/17,Test48,314.99
359,15/3/30,Test66,-571.00
360,15/5/14,Test65,-364.00
361,15/9/30,Test65,90.00
362,15/5/26,Test8,69.00
363,15/7/28,Test37,-582.00
364,15/2/8,Test11,-196.00
365,15/2/13,Test15,-353.00
366,15/5/16,Test17,385.00
367,15/3/24,Test84,391.00
368,15/3/15,Test1,-955.99
369,15/8/16,Test84,-184.00
370,15/5/30,Test91,-405.99
371,15/2/28,Test3,-509.00
372,15/1/12,Test49,754.00
373,15/12/18,Test3,486.99
374,15/10/18,Test24,358.00
375,15/6/2,Test83,-392.00
376,15/2/10,Test59,-326.00
377,15/7/5,Test21,469.99
378,15/4/31,Test52,-696.00
379,15/5/23,Test35,-868.00
380,15/6/31,Test53,-273.00
381,15/10/26,Test94,-677.00
382,15/6/20,Test27,-812.00
383,15/7/16,Test82,366.99
384,15/9/31,Test27,-13.99
385,15/12/16,Test82,591.00
386,15/5/24,Test64,-113.00
387,15/11/12,Test9,256.00
388,15/3/8,Test44,978.00
389,15/10/27,Test40,122.00
390,15/8/29,Test81,766.00
391,15/5/12,Test45,702.99
392,15/7/4,Test91,-924.00
393,15/4/12,Test18,-452.00
394,15/8/29,Test52,-39.99
395,15/12/7,Test6,-873.00
396,15/10/27,Test42,381.00
397,15/6/15,Test75,-237.99
398,15/12/9,Test50,180.00
399,15/10/3,Test18,-80.00
400,15/6/9,Test79,942.00
401,15/6/7,Test50,-104.00
402,15/7/13,Test75,763.00
403,15/3/7,Test31,286.00
404,15/12/19,Test97,-390.00
405,15/7/18,Test15,734.00
406,15/6/19,Test74,535.99
407,15/7/1,Test64,205.00
408,15/4/23,Test80,679.00
409,15/4/2,Test27,-123.00
410,15/1/19,Test19,-216.00
411,15/11/29,Test81,-442.99
412,15/9/30,Test89,-713.00
413,15/6/13,Test42,-49.00
414,15/12/4,Test75,-77.00
415,15/10/16,Test39,-513.00
416,15/12/17,Test19,241.00
417,15/10/22,Test10,551.99
418,15/12/1,Test68,-101.00
419,15/2/9,Test43,-727.99
420,15/9/19,Test91,891.00
421,15/7/27,Test13,150.99
422,15/8/6,Test64,65.00
423,15/2/26,Test19,-612.00
424,15/4/29,Test13,259.00
425,15/1/6,Test53,-547.00
426,15/2/19,Test48,-945.99
427,15/6/23,Test47,-494.00
428,15/8/21,Test41,-63.00
429,15/8/11,Test32,-144.00
430,15/12/26,Test62,-68.00
431,15/11/23,Test18,-700.00
432,15/6/9,Test23,606.00
433,15/5/3,Test78,-241.00
434,15/12/7,Test96,-280.00
435,15/1/2,Test89,214.00
436,15/5/29,Test19,-329.00
437,15/4/16,Test86,-352.00
438,15/2/20,Test65,-443.99
439,15/6/8,Test63,725.00
440,15/4/22,Test81,101.00
441,15/2/27,Test80,-532.00
442,15/8/2,Test20,-171.99
443,15/2/10,Test67,140.00
444,15/11/16,Test87,-37.00
445,15/9/6,Test89,632.00
446,15/1/7,Test9,652.99
447,15/3/5,Test44,-218.00
448,15/10/28,Test62,-351.00
449,15/11/11,Test78,834.00
450,15/4/29,Test4,-826.00
451,15/8/24,Test87,983.00
452,15/3/28,Test100,717.00
453,15/8/6,Test64,-399.00
454,15/7/17,Test33,526.00
455,15/6/19,Test100,804.00
456,15/5/27,Test78,-615.00
457,15/11/16,Test92,-716.00
458,15/5/31,Test2,100.99
459,15/11/31,Test93,291.00
460,15/9/23,Test86,9.99
461,15/12/13,Test7,524.00
462,15/6/14,Test20,-448.99
463,15/1/19,Test6,-210.99
464,15/5/5,Test13,150.00
465,15/7/25,Test49,904.00
466,15/11/20,Test78,-449.99
467,15/7/17,Test76,495.99
468,15/8/6,Test56,-232.00
469,15/8/21,Test21,99.99
470,15/7/27,Test58,-265.99
471,15/8/17,Test83,955.00
472,15/2/29,Test73,295.99
473,15/9/9,Test79,-551.99
474,15/8/18,Test91,161.00
475,15/12/11,Test76,-526.99
476,15/2/19,Test58,-755.00
477,15/3/12,Test86,773.00
478,15/10/17,Test15,-85.00
479,15/10/26,Test3,-189.00
480,15/9/1,Test10,675.00
481,15/6/22,Test92,-78.00
482,15/7/30,Test17,50.99
483,15/1/28,Test74,-416.00
484,15/1/29,Test14,-462.00
485,15/2/14,Test44,-712.00
486,15/7/4,Test3,-137.00
487,15/11/27,Test12,-598.00
488,15/5/20,Test100,334.00
489,15/7/19,Test3,-320.00
490,15/2/4,Test94,-962.00
491,15/1/27,Test100,95.00
492,15/3/21,Test66,-393.00
493,15/2/4,Test69,899.00
494,15/7/30,Test73,351.00
495,15/3/30,Test85,-998.00
496,15/6/6,Test75,-549.00
497,15/11/5,Test82,-509.00
498,15/11/1,Test84,661.00
499,15/11/7,Test20,-297.00
500,15/8/15,Test87,64.00
501,15/3/12,Test75,13.00
502,15/8/2,Test4,-636.00
503,15/11/17,Test10,496.00
504,15/7/4,Test77,-882.00
505,15/9/22,Test92,-754.99
506,15/4/3,Test86,424.00
507,15/4/15,Test54,-590.00
508,15/6/12,Test72,70.00
509,15/1/2,Test65,-923.00
510,15/1/13,Test87,148.00
511,15/4/19,Test34,-763.00
512,15/12/16,Test59,121.00
513,15/6/29,Test35,748.00
514,15/2/15,Test83,-760.00
515,15/12/1,Test49,369.00
516,15/9/14,Test27,591.00
517,15/12/31,Test33,482.00
518,15/9/5,Test13,326.00
519,15/11/29,Test50,-758.00
520,15/6/22,Test97,-920.99
521,15/2/17,Test57,-696.00
522,15/4/22,Test53,924.00
523,15/1/18,Test94,-52.00
524,15/12/26,Test23,-371.00
525,15/8/22,Test46,-864.00
526,15/10/6,Test1,-118.00
527,15/7/16,Test39,-457.00
528,15/5/25,Test61,80.00
529,15/7/17,Test10,-769.00
530,15/6/1,Test87,-711.00
531,15/12/16,Test26,39.00
532,15/8/27,Test7,-731.00
533,15/2/30,Test19,1.00
534,15/9/14,Test44,-164.99
535,15/11/27,Test19,401.00
536,15/6/26,Test99,-485.99
537,15/3/29,Test49,368.00
538,15/7/4,Test46,-715.00
539,15/10/2,Test14,-764.00
540,15/7/11,Test43,-652.00
541,15/3/21,Test42,779.00
542,15/9/19,Test59,-193.00
543,15/2/14,Test14,-106.00
544,15/10/7,Test66,30.00
545,15/4/19,Test4,244.00
546,15/3/5,Test29,-215.00
547,15/9/18,Test2,533.00
548,15/7/6,Test20,-408.99
549,15/7/27,Test81,647.00
550,15/11/18,Test48,-841.99
551,15/3/21,Test26,-256.99
552,15/5/26,Test28,-869.99
553,15/1/21,Test67,-930.00
554,15/4/17,Test90,-79.00
555,15/9/30,Test94,765.99
556,15/7/27,Test33,825.99
557,15/7/14,Test39,-222.00
558,15/12/1,Test11,-704.00
559,15/10/6,Test65,-610.00
560,15/8/29,Test36,-446.00
561,15/1/25,Test20,512.00
562,15/10/23,Test53,374.00
563,15/10/14,Test98,-933.00
564,15/5/3,Test2,324.00
565,15/3/28,Test52,0.99
566,15/10/21,Test36,-614.00
567,15/7/27,Test10,-987.00
568,15/11/25,Test6,-959.00
569,15/7/17,Test81,619.00
570,15/1/19,Test1,-919.00
571,15/4/29,Test12,-107.00
572,15/8/13,Test83,-917.00
573,15/9/18,Test13,-2.00
574,15/3/28,Test83,-797.00
575,15/12/6,Test76,-835.99
576,15/10/10,Test83,572.00
577,15/8/24,Test12,-505.00
578,15/4/21,Test23,-654.00
579,15/4/27,Test53,-159.00
580,15/12/12,Test79,343.99
581,15/12/31,Test96,680.00
582,15/9/8,Test4,-993.99
583,15/12/9,Test8,883.00
584,15/1/27,Test32,18.99
585,15/4/17,Test1,-134.99
586,15/1/17,Test88,183.00
587,15/1/21,Test54,331.00
588,15/9/17,Test8,437.00
589,15/8/23,Test7,895.00
590,15/9/6,Test65,-18.00
591,15/9/24,Test53,605.00
592,15/11/28,Test53,408.00
593,15/1/25,Test33,765.00
594,15/9/5,Test66,285.00
595,15/3/25,Test23,589.00
596,15/2/2,Test5,-769.00
597,15/8/11,Test95,-370.00
598,15/10/22,Test86,-949.00
599,15/6/10,Test25,541.00
600,15/2/22,Test25,508.99
601,15/1/18,Test41,-226.00
602,15/11/15,Test84,17.00
603,15/7/14,Test97,33.00
604,15/1/20,Test93,140.00
605,15/2/5,Test15,-393.00
606,15/10/5,Test71,-561.00
607,15/11/13,Test56,681.00
608,15/4/16,Test80,500.00
609,15/4/13,Test100,341.00
610,15/6/4,Test28,44.00
611,15/12/11,Test81,-787.99
612,15/2/29,Test97,-208.00
613,15/4/12,Test92,-128.00
614,15/2/1,Test63,-502.00
615,15/2/1,Test75,163.99
616,15/8/21,Test28,-387.00
617,15/12/21,Test25,200.00
618,15/9/25,Test14,11.00
619,15/1/20,Test21,517.00
620,15/10/31,Test11,-30.00
621,15/3/29,Test16,-882.00
622,15/6/15,Test71,246.99
623,15/5/18,Test78,311.99
624,15/12/24,Test45,531.00
625,15/12/15,Test19,122.00
626,15/3/30,Test13,-408.00
627,15/4/15,Test29,429.00
628,15/12/13,Test52,-711.00
629,15/6/28,Test22,-141.00
630,15/3/19,Test98,-302.99
631,15/3/15,Test8,672.00
632,15/3/22,Test52,302.00
633,15/6/17,Test9,394.00
634,15/11/7,Test64,-71.00
635,15/12/8,Test93,-971.00
636,15/9/25,Test29,-655.00
637,15/7/7,Test70,-823.00
638,15/9/10,Test44,259.00
639,15/5/30,Test5,375.00
640,15/4/23,Test94,427.00
641,15/10/25,Test38,-407.00
642,15/4/18,Test6,-244.00
643,15/5/15,Test40,-639.00
644,15/8/31,Test23,187.00
645,15/2/6,Test55,766.00
646,15/2/30,Test84,781.00
647,15/3/27,Test10,-324.00
648,15/5/14,Test33,794.99
649,15/4/9,Test51,-983.00
650,15/7/21,Test59,515.99
651,15/8/16,Test70,-256.00
652,15/7/1,Test6,-757.00
653,15/1/5,Test15,-603.00
654,15/10/10,Test25,539.00
655,15/7/8,Test85,541.00
656,15/5/2,Test42,-477.00
657,15/8/26,Test61,232.00
658,15/5/4,Test63,5.00
659,15/11/31,Test61,-363.00
660,15/12/6,Test73,-316.99
661,15/1/31,Test53,735.00
662,15/9/25,Test97,528.00
663,15/3/25,Test36,-51.00
664,15/8/29,Test37,-256.99
665,15/5/31,Test38,-212.99
666,15/12/18,Test64,-893.99
667,15/8/19,Test91,-268.99
668,15/6/28,Test43,354.00
669,15/12/14,Test50,977.00
670,15/5/31,Test89,587.00
671,15/5/17,Test38,916.00
672,15/12/12,Test2,811.99
673,15/1/18,Test11,368.00
674,15/4/8,Test90,-591.00
675,15/11/6,Test12,-68.00
676,15/1/23,Test96,651.00
677,15/7/5,Test71,252.00
678,15/11/13,Test97,-754.00
679,15/6/23,Test17,908.00
680,15/10/26,Test86,-777.00
681,15/8/20,Test11,251.00
682,15/1/3,Test35,219.00
683,15/4/6,Test44,-989.00
684,15/2/29,Test7,-399.00
685,15/1/8,Test85,-475.00
686,15/11/14,Test39,-466.00
687,15/3/3,Test97,65.00
688,15/12/3,Test35,104.99
689,15/3/10,Test79,-92.00
690,15/12/15,Test76,-681.00
691,15/7/21,Test2,-707.00
692,15/7/5,Test1,905.99
693,15/7/13,Test30,-421.00
694,15/1/7,Test44,984.99
695,15/2/9,Test4,874.00
696,15/7/25,Test13,96.00
697,15/5/8,Test74,-785.00
698,15/3/4,Test82,-336.99
699,15/10/22,Test99,44.00
700,15/3/29,Test94,-794.00
701,15/4/24,Test44,-479.00
702,15/3/13,Test80,528.99
703,15/3/2,Test72,-753.00
704,15/1/11,Test96,-39.00
705,15/6/29,Test46,795.99
706,15/3/25,Test95,527.00
707,15/1/18,Test28,-791.99
708,15/7/27,Test66,-183.00
709,15/5/24,Test37,601.00
710,15/4/18,Test18,538.99
711,15/6/5,Test63,99.00
712,15/7/7,Test79,-726.99
713,15/4/18,Test26,-77.99
714,15/7/3,Test35,-157.00
715,15/3/6,Test43,-756.00
716,15/5/19,Test82,-49.00
717,15/8/28,Test39,-291.00
718,15/11/16,Test53,406.00
719,15/10/31,Test20,-312.00
720,15/10/11,Test39,501.00
721,15/2/11,Test93,556.00
722,15/2/1,Test59,-965.00
723,15/10/22,Test51,72.00
724,15/3/20,Test96,-286.00
725,15/3/9,Test33,-809.00
726,15/8/21,Test18,510.00
727,15/1/13,Test58,-729.00
728,15/6/2,Test1,400.00
729,15/11/19,Test63,361.00
730,15/11/21,Test6,72.99
731,15/11/24,Test35,-891.00
732,15/11/1,Test100,644.00
733,15/2/16,Test70,-473.00
734,15/1/18,Test86,860.00
735,15/3/7,Test97,-55.00
736,15/9/9,Test8,-500.00
737,15/5/25,Test12,-261.00
738,15/4/4,Test84,315.99
739,15/11/20,Test85,-321.00
740,15/7/3,Test97,128.00
741,15/10/23,Test12,-531.00
742,15/9/28,Test54,-475.00
743,15/2/23,Test64,-173.99
744,15/7/27,Test50,919.00
745,15/2/31,Test49,150.00
746,15/4/8,Test71,-275.00
747,15/11/6,Test66,519.00
748,15/10/15,Test24,-495.00
749,15/12/15,Test72,-807.00
750,15/10/8,Test33,-733.00
751,15/2/2,Test44,-489.00
752,15/11/18,Test61,-906.00
753,15/10/16,Test85,86.00
754,15/10/1,Test97,208.00
755,15/1/8,Test32,-441.00
756,15/8/6,Test43,85.00
757,15/6/28,Test23,-847.00
758,15/7/23,Test78,-360.00
759,15/2/23,Test9,-632.00
760,15/8/8,Test18,471.00
761,15/1/28,Test78,-964.00
762,15/3/9,Test39,-204.00
763,15/12/31,Test76,773.00
764,15/12/19,Test96,-151.00
765,15/8/2,Test89,131.00
766,15/4/11,Test58,-617.00
767,15/12/3,Test14,-186.00
768,15/9/16,Test67,-329.99
769,15/2/5,Test58,594.00
770,15/11/22,Test3,276.00
771,15/5/8,Test60,-737.99
772,15/12/24,Test34,446.00
773,15/5/3,Test86,-185.00
774,15/10/10,Test82,359.00
775,15/9/27,Test47,291.00
776,15/9/24,Test12,692.00
777,15/2/4,Test50,-598.00
778,15/6/29,Test28,77.00
779,15/7/19,Test59,325.00
780,15/4/28,Test72,-49.00
781,15/8/24,Test34,-593.00
782,15/5/3,Test80,-784.00
783,15/3/19,Test57,23.99
784,15/2/27,Test15,732.00
785,15/10/28,Test46,-402.00
786,15/3/24,Test100,-968.99
787,15/1/17,Test26,-404.00
788,15/2/3,Test65,-138.00
789,15/7/25,Test71,461.00
790,15/2/10,Test18,29.00
791,15/12/9,Test90,-125.00
792,15/2/15,Test2,-50.00
793,15/8/1,Test79,334.00
794,15/11/9,Test3,-74.00
795,15/2/23,Test77,863.99
796,15/7/17,Test60,-188.00
797,15/1/23,Test14,835.99
798,15/10/19,Test54,-432.00
799,15/10/31,Test73,-937.00
800,15/8/25,Test51,-79.00
801,15/4/3,Test41,-223.00
802,15/10/14,Test83,-846.00
803,15/5/12,Test47,847.00
804,15/2/25,Test5,-112.00
805,15/12/7,Test18,719.00
806,15/11/26,Test79,-549.99
807,15/4/31,Test96,-36.00
808,15/5/29,Test46,-50.00
809,15/2/26,Test85,-668.00
810,15/3/8,Test50,-701.99
811,15/12/23,Test54,49.00
812,15/2/11,Test44,-549.00
813,15/11/8,Test65,692.00
814,15/11/25,Test38,632.00
815,15/5/23,Test31,-742.00
816,15/5/1,Test48,873.00
817,15/11/5,Test85,-67.00
818,15/4/8,Test46,-619.00
819,15/8/24,Test93,-908.00
820,15/8/30,Test27,461.00
821,15/7/27,Test1,-92.00
822,15/2/12,Test53,434.00
823,15/4/5,Test25,753.00
824,15/7/30,Test38,901.00
825,15/10/1,Test16,-631.00
826,15/1/20,Test7,393.00
827,15/12/16,Test18,447.00
828,15/6/13,Test58,-395.00
829,15/1/18,Test17,-404.99
830,15/4/13,Test72,-414.00
831,15/9/14,Test7,-990.00
832,15/11/31,Test44,229.00
833,15/9/26,Test89,978.00
834,15/7/14,Test63,-55.00
835,15/2/22,Test39,825.00
836,15/1/22,Test54,372.00
837,15/2/30,Test85,458.00
838,15/3/6,Test35,-589.00
839,15/10/11,Test63,-632.00
840,15/11/6,Test48,-957.00
841,15/3/18,Test87,-730.00
842,15/3/21,Test99,728.00
843,15/10/17,Test59,-462.00
844,15/6/22,Test55,426.99
845,15/2/30,Test96,360.00
