ID,Date,Description,Amount
126,15/10/27,Test19,-155.00
127,15/7/2,Test72,252.00
128,15/9/20,Test86,846.00
129,15/3/4,Test97,-743.00
130,15/9/3,Test82,628.00
131,15/7/3,Test65,527.00
132,15/1/17,Test65,501.00
133,15/11/27,Test27,889.00
134,15/5/1,Test13,693.99
135,15/4/14,Test86,293.00
136,15/1/26,Test92,370.99
137,15/7/25,Test54,-211.00
138,15/10/22,Test6,725.00
139,15/3/16,Test80,874.00
140,15/5/19,Test72,265.00
141,15/5/7,Test40,915.00
142,15/5/19,Test50,-342.00
143,15/12/29,Test67,-697.00
144,15/10/1,Test23,462.00
145,15/12/18,Test92,233.99
146,15/7/30,Test73,-969.00
147,15/3/6,Test89,-604.99
148,15/10/15,Test89,-38.00
149,15/6/12,Test54,-498.00
150,15/12/15,Test87,-155.99
151,15/3/31,Test48,-169.00
152,15/2/25,Test42,-598.00
153,15/9/26,Test4,-896.00
154,15/4/15,Test58,-852.00
155,15/2/9,Test2,654.00
156,15/7/8,Test74,820.00
157,15/6/24,Test9,-197.00
158,15/4/11,Test2,278.00
159,15/2/6,Test56,-197.00
160,15/2/15,Test8,-849.00
161,15/12/29,Test4,-570.00
162,15/4/29,Test64,769.00
163,15/2/1,Test40,171.00
164,15/5/10,Test94,-138.00
165,15/1/25,Test62,-748.00
166,15/12/16,Test56,-355.00
167,15/7/9,Test72,36.00
168,15/2/14,Test52,253.99
169,15/6/9,Test27,479.00
170,15/7/23,Test82,-122.00
171,15/10/13,Test71,382.00
172,15/4/16,Test89,342.00
173,15/7/9,Test90,822.00
174,15/3/21,Test39,-979.00
175,15/3/15,Test18,-711.00
176,15/2/13,Test39,-766.00
177,15/8/4,Test79,-915.00
178,15/4/22,Test26,-156.99
179,15/9/23,Test100,132.00
180,15/12/28,Test39,-581.99
181,15/7/1,Test10,566.00
182,15/5/1,Test26,925.00
183,15/6/22,Test44,152.00
184,15/11/27,Test77,-260.00
185,15/6/11,Test95,795.00
186,15/5/16,Test23,461.99
187,15/12/9,Test98,-721.00
188,15/4/2,Test37,-489.99
189,15/10/4,Test10,203.00
190,15/9/1,Test93,-730.00
191,15/12/2,Test56,-722.00
192,15/9/6,Test82,-491.00
193,15/2/18,Test90,-89.00
194,15/6/8,Test70,-18.00
195,15/9/1,Test44,-128.00
196,15/10/27,Test94,-660.00
197,15/10/31,Test40,525.00
198,15/9/4,Test88,-279.00
199,15/3/12,Test21,908.99
200,15/2/31,Test93,-641.00
201,15/8/16,Test40,788.99
202,15/7/3,Test24,-862.00
203,15/8/12,Test25,801.00
204,15/4/7,Test57,653.99
205,15/11/29,Test7,930.00
206,15/4/30,Test52,-948.00
207,15/8/30,Test79,906.00
208,15/6/5,Test87,-75.00
209,15/1/20,Test72,23.00
210,15/9/25,Test49,524.00
211,15/6/8,Test33,-165.00
212,15/12/5,Test20,562.00
213,15/8/19,Test35,-726.00
214,15/2/2,Test5,-396.00
215,15/10/6,Test64,-327.00
216,15/7/15,Test68,-991.00
217,15/9/24,Test67,806.00
218,15/3/16,Test6,-660.00
219,15/9/20,Test15,32.99
220,15/3/13,Test63,-721.00
221,15/6/21,Test49,688.99
222,15/8/26,Test8,165.00
223,15/1/27,Test53,679.99
224,15/4/15,Test58,-202.00
225,15/10/24,Test77,-26.00
226,15/3/19,Test2,-573.00
227,15/7/31,Test11,-542.00
228,15/2/8,Test17,858.00
229,15/2/6,Test28,-70.00
230,15/4/18,Test10,-896.99
231,15/5/12,Test67,368.00
232,15/2/16,Test68,-725.00
233,15/4/31,Test63,883.99
234,15/6/25,Test81,956.00
235,15/6/18,Test16,-444.99
236,15/12/9,Test88,-454.00
237,15/4/5,Test84,-929.00
238,15/3/10,Test2,-587.00
239,15/8/12,Test55,13.00
240,15/1/19,Test32,409.99
241,15/5/9,Test73,-640.00
242,15/3/6,Test67,989.00
243,15/3/17,Test48,905.00
244,15/4/18,Test84,798.00
245,15/1/23,Test19,-273.99
246,15/7/6,Test35,395.00
247,15/1/12,Test29,669.00
248,15/6/15,Test72,738.00
249,15/6/30,Test75,-492.00
250,15/12/8,Test43,608.00
251,15/10/7,Test36,166.99
252,15/7/2,Test68,355.00
253,15/7/22,Test25,557.00
254,15/2/12,Test17,-493.00
255,15/7/16,Test99,-886.99
256,15/1/14,Test8,781.99
257,15/12/31,Test52,-568.00
258,15/10/30,Test51,-686.99
259,15/3/16,Test71,-922.00
260,15/6/29,Test89,294.00
261,15/7/14,Test35,33.00
262,15/10/22,Test50,533.00
263,15/7/22,Test40,43.00
264,15/4/27,Test62,-855.00
265,15/6/14,Test50,-509.00
266,15/5/27,Test23,653.99
267,15/2/24,Test78,-71.00
268,15/10/2,Test23,862.00
269,15/4/17,Test87,535.00
270,15/6/25,Test7,785.00
271,15/3/18,Test61,-244.00
272,15/3/28,Test8,112.00
273,15/4/10,Test91,-645.00
274,15/10/31,Test45,-258.00
275,15/3/25,Test23,178.99
276,15/9/21,Test88,90.00
277,15/7/1,Test78,275.00
278,15/5/3,Test1,703.00
279,15/8/9,Test92,640.99
280,15/4/15,Test78,825.00
281,15/9/15,Test26,164.99
282,15/1/20,Test11,362.00
283,15/4/14,Test66,-117.00
284,15/3/16,Test23,773.99
285,15/12/7,Test94,-137.00
286,15/9/19,Test14,-505.00
287,15/3/4,Test49,-788.00
288,15/12/15,Test14,262.00
289,15/6/2,Test36,-43.00
290,15/2/23,Test15,-75.00
291,15/12/29,Test56,-315.00
292,15/8/1,Test31,-700.00
293,15/1/11,Test3,-362.00
294,15/6/22,Test90,94.00
295,15/10/17,Test79,-500.00
296,15/9/13,Test26,337.00
297,15/9/21,Test60,-477.00
298,15/6/25,Test50,503.00
299,15/3/24,Test48,876.99
300,15/1/7,Test78,135.00
301,15/11/21,Test74,46.00
302,15/6/26,Test49,-953.00
303,15/9/30,Test25,-528.99
304,15/10/26,Test86,-411.00
305,15/4/28,Test30,192.99
306,15/6/23,Test62,-208.99
307,15/10/15,Test35,-737.00
308,15/12/18,Test16,-184.00
309,15/8/17,Test67,-902.00
310,15/3/22,Test14,-786.99
311,15/4/15,Test6,-925.00
312,15/9/28,Test4,-207.00
313,15/6/23,Test63,-637.99
314,15/5/30,Test15,-459.99
315,15/5/1,Test41,24.00
316,15/5/13,Test39,729.00
317,15/5/25,Test60,-780.00
318,15/3/1,Test29,-185.00
319,15/4/24,Test81,621.00
320,15/10/23,Test64,-730.00
321,15/6/7,Test90,-221.00
322,15/12/22,Test96,-529.00
323,15/10/30,Test19,210.99
324,15/2/11,Test96,314.00
325,15/5/5,Test92,620.00
326,15/6/30,Test42,-244.00
327,15/4/21,Test17,-67.00
328,15/7/11,Test87,512.99
329,15/2/21,Test100,83.00
330,15/5/23,Test17,-720.00
331,15/4/11,Test40,-98.00
332,15/1/31,Test15,-882.99
333,15/1/4,Test47,-686.00
334,15/7/6,Test44,-94.00
335,15/8/5,Test88,-561.00
336,15/11/24,Test54,-732.99
337,15/8/13,Test58,689.99
338,15/8/8,Test91,231.00
339,15/1/21,Test42,98.00
340,15/7/25,Test10,-249.00
341,15/1/9,Test73,926.00
342,15/10/7,Test82,708.99
343,15/7/24,Test12,-889.00
344,15/12/5,Test57,-332.99
345,15/10/29,Test10,83.00
346,15/11/5,Test46,35.00
347,15/8/15,Test63,-609.00
348,15/8/12,Test35,901.00
349,15/8/3,Test73,54.00
350,15/11/11,Test96,262.00
351,15/9/27,Test58,-937.00
352,15/8/27,Test83,-765.99
353,15/9/25,Test8,-239.00
354,15/5/2,Test31,719.00
355,15/9/3,Test19,-911.00
356,15/10/8,Test29,542.99
357,15/5/28,Test96,-571.99
358,15/6/6,Test38,-182.00
359,15/5/29,Test84,-655.99
360,15/11/19,Test60,13.00
361,15/7/28,Test84,-320.99
362,15/9/9,Test68,11.00
363,15/3/7,Test100,548.00
364,15/11/31,Test82,-944.99
365,15/7/25,Test63,-262.00
366,15/11/10,Test32,535.00
367,15/4/11,Test41,-786.00
368,15/7/10,Test57,434.00
369,15/8/6,Test49,791.99
370,15/6/17,Test23,-383.99
371,15/6/13,Test63,-367.00
372,15/2/19,Test63,-313.00
373,15/8/20,Test32,-901.00
374,15/3/24,Test82,-802.00
375,15/11/9,Test82,-69.99
376,15/12/7,Test33,-363.00
377,15/7/26,Test51,-133.99
378,15/1/12,Test10,815.00
379,15/8/11,Test25,840.00
380,15/7/2,Test76,-46.00
381,15/7/7,Test81,-376.00
382,15/10/24,Test55,-475.00
383,15/2/23,Test95,690.00
384,15/11/30,Test87,-567.00
385,15/9/17,Test25,430.99
386,15/7/15,Test69,141.00
387,15/5/1,Test12,-110.00
388,15/7/16,Test30,503.00
389,15/9/6,Test33,932.99
390,15/6/21,Test68,323.00
391,15/5/26,Test3,-871.00
392,15/5/3,Test37,-270.00
393,15/1/13,Test15,273.00
394,15/6/7,Test55,273.99
395,15/10/7,Test62,-221.00
396,15/10/13,Test73,-680.99
397,15/7/22,Test24,479.00
398,15/9/10,Test71,844.00
399,15/11/18,Test50,-275.00
400,15/7/1,Test34,-794.00
401,15/8/26,Test40,416.00
402,15/5/29,Test76,958.00
403,15/2/15,Test69,938.00
404,15/4/25,Test61,213.00
405,15/9/29,Test80,509.00
406,15/4/12,Test65,701.00
407,15/5/19,Test10,873.00
408,15/7/11,Test33,642.00
409,15/3/31,Test70,273.00
410,15/6/4,Test14,937.00
411,15/4/6,Test20,486.99
412,15/6/6,Test5,208.00
413,15/4/15,Test15,-461.99
414,15/12/15,Test69,-801.00
415,15/8/5,Test80,-512.00
416,15/8/12,Test53,-331.00
417,15/11/22,Test78,-261.00
418,15/4/5,Test90,-66.99
419,15/8/31,Test35,-20.99
420,15/7/15,Test92,921.99
421,15/8/10,Test64,-616.00
422,15/1/29,Test94,855.00
423,15/4/4,Test76,-902.00
424,15/5/2,Test56,24.00
425,15/8/20,Test65,502.00
426,15/6/16,Test35,-205.00
427,15/1/27,Test69,484.00
428,15/8/16,Test86,-997.00
429,15/4/3,Test14,-618.00
430,15/1/4,Test15,537.00
431,15/7/3,Test44,995.00
432,15/9/2,Test50,-10.00
433,15/5/22,Test16,-346.00
434,15/2/18,Test59,78.00
435,15/4/28,Test84,949.00
436,15/1/7,Test95,461.99
437,15/12/1,Test66,-959.00
438,15/9/4,Test17,-793.99
439,15/1/12,Test22,786.00
440,15/9/3,Test72,170.00
441,15/6/12,Test78,-274.00
442,15/8/12,Test19,-108.00
443,15/7/11,Test15,-979.00
444,15/9/19,Test32,-797.00
445,15/4/3,Test3,-325.99
446,15/2/31,Test100,-795.00
447,15/3/5,Test10,-481.99
448,15/1/20,Test7,993.00
449,15/10/28,Test37,652.00
450,15/6/18,Test90,-301.00
451,15/10/21,Test98,374.00
452,15/11/2,Test58,-697.00
453,15/5/19,Test93,675.00
454,15/9/28,Test88,821.00
455,15/9/13,Test74,-752.00
456,15/11/20,Test99,331.00
457,15/8/22,Test95,-744.00
458,15/9/10,Test53,-185.99
459,15/9/21,Test93,696.00
460,15/1/29,Test53,783.00
461,15/12/7,Test58,-337.99
462,15/11/4,Test66,728.99
463,15/11/15,Test22,61.00
464,15/11/28,Test45,-590.00
465,15/7/20,Test53,-702.00
466,15/11/12,Test50,832.00
467,15/7/12,Test5,-701.00
468,15/12/19,Test11,320.00
469,15/3/8,Test23,909.99
470,15/6/4,Test7,-515.00
471,15/12/10,Test94,113.00
472,15/6/3,Test31,-571.00
473,15/1/25,Test100,-319.00
474,15/12/27,Test36,158.00
475,15/12/10,Test96,-504.00
476,15/4/11,Test54,-55.00
477,15/6/4,Test63,-739.00
478,15/2/8,Test81,572.00
479,15/1/13,Test99,-148.00
480,15/3/31,Test38,173.00
481,15/10/6,Test5,305.00
482,15/1/3,Test14,-376.00
483,15/8/12,Test53,-371.00
484,15/6/14,Test25,969.00
485,15/10/30,Test53,621.00
486,15/5/21,Test99,-28.00
487,15/7/11,Test56,-41.00
488,15/11/12,Test87,-862.00
489,15/7/3,Test82,769.99
490,15/7/11,Test33,292.00
491,15/5/17,Test32,647.00
492,15/5/15,Test33,567.00
493,15/1/22,Test93,585.00
494,15/11/7,Test15,-717.00
495,15/3/20,Test2,-988.00
496,15/2/19,Test59,417.00
497,15/3/20,Test84,72.99
498,15/6/28,Test40,-228.00
499,15/8/6,Test94,-503.00
500,15/2/14,Test48,627.00
501,15/6/29,Test40,142.00
502,15/9/17,Test6,-146.00
503,15/5/14,Test23,520.00
504,15/4/8,Test29,48.00
505,15/9/3,Test43,-120.99
506,15/3/8,Test71,236.99
507,15/6/13,Test11,-316.00
508,15/6/7,Test59,-236.00
509,15/8/18,Test3,-203.99
510,15/12/6,Test10,84.00
511,15/7/28,Test95,836.00
512,15/5/7,Test29,-301.99
513,15/6/20,Test47,93.00
514,15/10/16,Test6,-912.00
515,15/10/27,Test28,-173.00
516,15/1/4,Test17,-772.00
517,15/5/18,Test81,609.00
518,15/11/12,Test8,-358.00
519,15/10/20,Test18,717.99
520,15/11/1,Test25,742.00
521,15/1/9,Test59,180.00
522,15/12/16,Test52,848.00
523,15/12/12,Test93,-906.00
524,15/12/19,Test4,859.00
525,15/3/8,Test78,246.00
526,15/8/5,Test26,-686.00
527,15/11/28,Test55,36.00
528,15/10/18,Test65,990.00
529,15/4/14,Test61,-904.00
530,15/6/27,Test35,-114.00
531,15/7/14,Test2,-901.00
532,15/9/24,Test33,861.99
533,15/5/3,Test32,78.00
534,15/1/31,Test36,-594.99
535,15/1/30,Test30,595.00
536,15/5/10,Test84,710.00
537,15/7/13,Test44,-160.00
538,15/7/20,Test19,-388.00
539,15/6/1,Test92,-219.00
540,15/2/25,Test43,446.00
541,15/6/10,Test80,-27.00
542,15/4/16,Test34,-136.00
543,15/6/28,Test70,750.99
544,15/3/30,Test80,-465.00
545,15/1/6,Test9,-322.00
546,15/2/29,Test61,222.99
547,15/9/31,Test47,-711.99
548,15/4/5,Test16,-169.99
549,15/1/13,Test14,951.00
550,15/7/21,Test12,827.00
551,15/1/6,Test32,-499.99
552,15/9/10,Test57,940.00
553,15/7/8,Test96,333.00
554,15/5/3,Test30,136.00
555,15/12/7,Test47,117.00
556,15/11/2,Test21,764.99
557,15/5/8,Test39,991.00
558,15/10/1,Test47,536.00
559,15/6/8,Test98,-254.00
560,15/2/27,Test75,-870.00
561,15/12/7,Test74,-910.99
562,15/5/11,Test65,493.00
563,15/10/1,Test12,915.00
564,15/8/14,Test29,-620.00
565,15/7/24,Test1,126.00
566,15/4/11,Test57,866.00
567,15/5/4,Test26,480.00
568,15/1/19,Test87,-989.00
569,15/5/14,Test90,88.00
570,15/4/3,Test40,614.00
571,15/12/2,Test18,-71.00
572,15/4/15,Test57,849.00
573,15/3/19,Test75,367.99
574,15/5/14,Test29,921.00
575,15/11/27,Test89,-870.00
576,15/7/11,Test78,-120.00
577,15/7/4,Test98,271.00
578,15/9/12,Test41,966.00
579,15/5/29,Test70,283.00
580,15/2/19,Test50,201.99
581,15/3/26,Test85,-865.00
582,15/9/13,Test11,491.00
583,15/3/6,Test93,-133.00
584,15/7/20,Test64,-884.00
585,15/10/9,Test15,-640.00
586,15/5/11,Test33,-905.00
587,15/7/15,Test1,-902.00
588,15/12/2,Test18,769.00
589,15/1/24,Test1,-658.99
590,15/7/19,Test61,-201.99
591,15/4/28,Test2,-972.00
592,15/4/25,Test51,419.99
593,15/1/17,Test11,503.00
594,15/3/28,Test32,-757.00
595,15/6/2,Test42,40.00
596,15/6/29,Test86,496.00
597,15/10/29,Test93,-37.00
598,15/1/25,Test29,511.00
599,15/5/3,Test8,-632.00
600,15/2/30,Test96,320.00
601,15/9/10,Test43,279.00
602,15/2/24,Test72,-304.99
603,15/5/31,Test13,893.00
604,15/12/24,Test40,928.00
605,15/5/3,Test10,785.00
606,15/5/18,Test47,465.00
607,15/1/18,Test68,669.00
608,15/9/29,Test35,942.00
609,15/11/21,Test94,-599.99
610,15/5/26,Test36,395.99
611,15/8/4,Test37,359.00
612,15/1/5,Test97,296.00
613,15/6/25,Test78,475.00
614,15/9/7,Test60,-642.00
615,15/12/19,Test46,458.00
616,15/3/25,Test5,859.00
617,15/6/1,Test14,-779.00
618,15/2/23,Test58,-482.00
619,15/4/10,Test42,-676.00
620,15/3/12,Test11,452.99
621,15/3/15,Test85,-162.00
622,15/11/17,Test50,-46.00
623,15/11/18,Test31,146.99
624,15/4/29,Test35,121.00
625,15/12/14,Test13,-824.00
626,15/2/4,Test9,-401.00
627,15/12/21,Test11,257.00
628,15/5/19,Test82,47.00
629,15/12/12,Test39,356.00
630,15/5/18,Test98,-457.00
631,15/1/24,Test23,-1.00
632,15/2/27,Test69,-391.00
633,15/10/27,Test38,-739.99
634,15/1/16,Test33,821.00
635,15/5/25,Test14,229.00
636,15/11/12,Test37,-708.00
637,15/9/22,Test59,-318.99
638,15/7/27,Test48,4.00
639,15/5/9,Test94,170.00
640,15/12/12,Test81,-807.99
641,15/6/11,Test46,64.00
642,15/3/5,Test58,285.99
643,15/6/25,Test67,-442.00
644,15/3/3,Test66,-520.00
645,15/1/6,Test68,145.00
646,15/10/30,Test68,132.00
647,15/4/22,Test50,-557.00
648,15/5/20,Test32,-898.00
649,15/9/10,Test1,-113.99
650,15/6/5,Test52,-394.00
651,15/3/4,Test5,405.00
652,15/9/18,Test29,-795.00
653,15/5/12,Test17,944.00
654,15/2/19,Test29,-892.00
655,15/9/10,Test21,689.00
656,15/1/20,Test65,514.00
657,15/12/28,Test31,488.00
658,15/5/3,Test12,-821.99
659,15/9/26,Test68,306.00
660,15/5/31,Test45,580.99
661,15/12/2,Test13,-150.00
662,15/6/17,Test51,901.00
663,15/4/2,Test81,-722.00
664,15/9/4,Test8,-787.00
665,15/6/4,Test40,-739.00
666,15/1/2,Test79,67.00
667,15/11/3,Test3,239.00
668,15/10/27,Test67,860.00
669,15/7/15,Test8,-864.00
670,15/10/23,Test73,567.00
671,15/9/12,Test4,-324.00
672,15/12/25,Test58,-938.00
673,15/1/16,Test61,410.00
674,15/2/21,Test99,-86.00
675,15/5/20,Test52,761.00
676,15/5/12,Test94,-741.00
677,15/4/26,Test81,-153.00
678,15/7/2,Test45,303.00
679,15/5/29,Test24,-138.00
680,15/8/28,Test85,-742.00
681,15/11/19,Test52,402.00
682,15/8/16,Test73,996.00
683,15/6/25,Test15,52.00
684,15/11/14,Test53,942.00
685,15/12/21,Test97,822.00
686,15/3/7,Test79,-493.00
687,15/2/22,Test34,476.00
688,15/9/26,Test31,-898.00
689,15/7/5,Test15,-373.00
690,15/7/12,Test21,-214.00
691,15/1/2,Test87,-653.99
692,15/11/13,Test4,-623.00
693,15/1/17,Test51,893.00
694,15/11/20,Test87,-679.00
695,15/8/15,Test13,-2.00
696,15/4/22,Test16,32.00
697,15/10/25,Test80,-777.00
698,15/11/1,Test65,-131.00
699,15/3/22,Test18,700.00
700,15/8/14,Test39,679.00
701,15/8/25,Test58,887.00
702,15/3/31,Test11,-877.00
703,15/4/5,Test48,941.00
704,15/1/29,Test61,615.00
705,15/5/23,Test52,-417.00
706,15/4/31,Test67,-490.00
707,15/7/19,Test21,-864.00
708,15/9/20,Test37,-67.00
709,15/11/24,Test2,-41.00
710,15/5/22,Test1,826.00
711,15/5/5,Test35,-274.00
712,15/6/20,Test16,-540.00
713,15/5/23,Test65,-574.99
714,15/7/31,Test66,-225.00
715,15/10/14,Test9,-116.00
716,15/7/1,Test58,588.00
717,15/4/5,Test25,-559.00
718,15/2/22,Test19,81.00
719,15/4/15,Test93,-723.00
720,15/3/26,Test70,627.00
721,15/4/20,Test36,864.99
722,15/3/9,Test90,589.00
723,15/9/23,Test98,-521.00
724,15/6/19,Test32,660.00
725,15/2/25,Test59,-973.00
726,15/7/2,Test44,230.00
727,15/1/4,Test82,214.00
728,15/8/24,Test48,-34.00
729,15/8/8,Test2,453.00
730,15/2/1,Test38,114.00
731,15/2/12,Test74,-287.99
732,15/3/13,Test93,-700.00
733,15/4/23,Test32,-558.00
734,15/7/3,Test98,-766.00
735,15/9/22,Test86,-681.99
736,15/12/11,Test59,-292.00
737,15/10/1,Test70,302.00
738,15/2/27,Test85,-689.00
739,15/8/14,Test5,558.99
740,15/7/19,Test14,76.00
741,15/9/22,Test43,865.00
742,15/5/29,Test45,748.00
743,15/1/1,Test21,276.99
744,15/5/15,Test62,-631.00
745,15/6/9,Test46,-910.00
746,15/2/4,Test87,-800.00
747,15/12/15,Test54,-800.00
748,15/4/21,Test84,50.00
749,15/3/21,Test52,648.00
750,15/2/4,Test76,-948.00
751,15/1/4,Test59,372.00
752,15/6/17,Test47,-371.00
753,15/6/24,Test93,279.00
754,15/8/27,Test91,662.00
755,15/10/21,Test50,-148.00
756,15/2/9,Test68,119.00
757,15/2/22,Test20,-561.00
758,15/7/20,Test8,161.00
759,15/11/10,Test14,-74.00
760,15/4/17,Test23,400.00
761,15/9/15,Test8,327.00
762,15/7/18,Test85,943.00
763,15/7/23,Test95,-766.99
764,15/7/27,Test85,-492.99
765,15/1/3,Test52,-657.00
766,15/8/12,Test9,683.00
767,15/4/18,Test42,-201.00
768,15/12/5,Test37,-773.00
769,15/8/26,Test58,139.00
770,15/3/1,Test70,869.00
771,15/10/7,Test4,-871.00
772,15/4/13,Test75,-198.00
773,15/7/24,Test3,-15.00
774,15/4/9,Test55,-140.00
775,15/7/6,Test16,-436.00
776,15/6/17,Test7,-776.99
777,15/11/22,Test52,-183.00
778,15/4/14,Test70,993.00
779,15/6/13,Test35,907.00
780,15/4/23,Test92,-689.99
781,15/5/26,Test46,-307.99
782,15/1/21,Test15,-918.99
783,15/11/9,Test77,993.00
784,15/7/29,Test58,-965.00
785,15/5/24,Test86,-104.00
786,15/4/19,Test99,872.00
787,15/6/3,Test74,236.00
788,15/10/8,Test33,961.00
789,15/10/24,Test18,2.00
790,15/7/26,Test90,622.99
791,15/4/5,Test61,111.00
792,15/8/10,Test68,252.00
793,15/5/10,Test38,336.00
794,15/6/29,Test86,886.00
795,15/8/14,Test29,483.00
796,15/5/21,Test14,-8.00
797,15/1/21,Test86,-173.00
798,15/3/2,Test71,686.00
799,15/10/11,Test79,-466.99
800,15/9/23,Test15,751.00
801,15/8/7,Test54,-65.00
802,15/5/4,Test87,-627.00
803,15/8/10,Test63,495.00
804,15/5/1,Test85,-190.00
805,15/11/2,Test84,-381.00
806,15/5/31,Test70,-789.99
807,15/5/17,Test14,-155.00
808,15/12/3,Test34,-960.00
809,15/9/7,Test58,-9.00
810,15/3/23,Test49,-843.00
811,15/6/6,Test13,440.00
812,15/12/19,Test8,-398.00
813,15/3/1,Test87,688.99
814,15/3/1,Test84,81.00
815,15/12/19,Test59,-221.99
816,15/2/13,Test23,378.00
817,15/5/29,Test61,-636.00
818,15/1/12,Test23,-31.00
819,15/5/20,Test71,810.00
820,15/7/8,Test31,-404.00
821,15/6/4,Test32,-854.00
822,15/5/29,Test72,-24.99
823,15/4/4,Test75,384.99
824,15/11/6,Test17,175.00
825,15/6/1,Test17,-977.99
826,15/5/10,Test56,-349.00
827,15/12/7,Test20,93.00
828,15/1/31,Test64,955.00
829,15/7/3,Test43,-528.00
830,15/1/2,Test1,164.00
831,15/5/31,Test99,440.00
832,15/8/5,Test63,956.00
833,15/6/13,Test66,288.99
834,15/7/9,Test24,88.00
835,15/4/30,Test77,450.00
836,15/9/6,Test82,-964.99
837,15/3/18,Test68,894.00
838,15/8/8,Test34,830.99
839,15/12/6,Test52,-490.00
840,15/1/26,Test73,-548.00
841,15/12/16,Test35,-905.00
842,15/11/21,Test68,-750.00
843,15/7/14,Test50,581.00
844,15/11/10,Test6,342.00
845,15/1/7,Test11,678.99
846,15/5/9,Test31,-509.00
